from,to
Atp6v0a2,Cd4
Snca,Cd4
Cd63,Cd4
Whsc1,Cd4
Neurog1,Cd4
Farsb,Cd4
Smad3,Cd4
Snx18,Cd4
Cxcl17,Cd4
Trf,Cd4
Serpinb1c,Cd4
Calr,Cd4
Fbxl20,Cd4
Rara,Cd4
Rps3a3,Cd4
Ston1,Cd4
Vamp8,Cd4
Serpinb1a,Cd4
Fbxo32,Cd4
Il6st,Cd4
Foxp3,Cd4
Ranbp9,Cd4
Rpl7,Cd4
Rps3a2,Cd4
Pon1,Cd4
Tat,Cd4
Phb2,Cd4
Rab4a,Cd4
Vsx1,Cd4
Syt2,Cd4
Serpinb3a,Cd4
H2-DMb2,Cd4
Mill2,Cd4
Crygf,Cd4
Sla2,Cd4
Mpo,Cd4
Gnai3,Cd4
Picalm,Cd4
Avp,Cd4
Map2k4,Cd4
Tecr,Cd4
Ccl17,Cd4
Vamp4,Cd4
Krt18,Cd4
Bdnf,Cd4
Runx3,Cd4
Sirpb1c,Cd4
Isg20,Cd4
Pabpn1,Cd4
Ifna5,Cd4
Cd40,Cd4
Sh3kbp1,Cd4
C1qbp,Cd4
Pou2f3,Cd4
Tgfb2,Cd4
Casp1,Cd4
Crygd,Cd4
Irak2,Cd4
Nploc4,Cd4
Fam72a,Cd4
Trav9-4,Cd4
Ctnnb1,Cd4
Enpep,Cd4
Slc2a1,Cd4
Adrm1,Cd4
Rag1,Cd4
Serpinb3c,Cd4
Trbc2,Cd4
Ddr1,Cd4
Adam17,Cd4
Il1r1,Cd4
Akt2,Cd4
Gm5611,Cd4
Serpinb3b,Cd4
Ltk,Cd4
Il9,Cd4
B2m,Cd4
Hes1,Cd4
Pik3cg,Cd4
Hsph1,Cd4
Eif3m,Cd4
Cd68,Cd4
Atp6v0a1,Cd4
Sirpb1b,Cd4
Apcs,Cd4
Serpinb3d,Cd4
Gm9733,Cd4
Pira2,Cd4
Nova2,Cd4
Aoc3,Cd4
Il15,Cd4
Cdh1,Cd4
Vcam1,Cd4
Cd6,Cd4
