from,to
Nkx2-5,Upp2
Atf4,Upp2
Egr1,Upp2
Igf1,Prss21
Egr1,Prss21
Hif1a,Prss21
Erg,Prss21
Atf4,Mark4
Egr1,Mark4
Sox9,Mark4
Nfe2l2,Mark4
Nfe2l2,Prom1
Epas1,Prom1
Hif1a,Prom1
Dnmt1,Prom1
Nfatc1,Prom1
Inhba,Prom1
Atf4,Ccdc124
Sirt1,Ccdc124
Cd274,Ccdc124
Egr1,Ccdc124
Nfe2l2,Ccdc124
Nfatc1,Ccdc124
Adm,Psg18
Sox9,Psg18
Hif1a,Psg18
Atf4,Psg18
Egr1,Psg18
Atf4,Pafah1b1
Egr1,Pafah1b1
Cd74,Pafah1b1
Erg,Pafah1b1
Kit,Pafah1b1
Nfe2l2,Pafah1b1
Pdk1,Pafah1b1
Igf1,Nos2
Hif1a,Nos2
Agtr1a,Nos2
Nfe2l2,Nos2
Prl2c5,Nos2
Prl3b1,Nos2
Vegfa,Nos2
Sod1,Nos2
Prl2c2,Nos2
Hmox1,Nos2
Prl7b1,Nos2
Prl8a2,Nos2
Prl3d1,Nos2
Hif1a,Dnah9
Ascl2,Dnah9
Nkx2-5,Dnah9
Egr1,Dnah9
Nfatc1,Dnah9
Erg,Slc13a2
Nfe2l2,Gas7
Hif1a,Gas7
Egr1,Trappc6a
Nfatc1,Trappc6a
Ascl2,Trappc6a
Igf1,Trappc6a
Atf4,Trappc6a
Erg,Trappc6a
Adm,Matk
Egr1,Matk
Nfe2l2,Matk
Krt7,Matk
Ascl2,Matk
Mtor,Cd79b
Nfe2l2,Cd79b
Egr1,Cd79b
Cd74,Cd79b
Hif1a,Scn4a
Epas1,Scn4a
Nfatc1,Scn4a
Sox9,Scn4a
Egr1,Scn4a
Sirt1,Scn4a
Igf1,Scn4a
Egr1,St7l
Nfe2l2,St7l
Atf4,St7l
Nfatc1,St7l
Rbfox2,St7l
Erg,St7l
Epas1,St7l
Nfatc1,Tktl1
Nfe2l2,Tktl1
Hif1a,Tktl1
Vegfa,Tktl1
Sirt1,Pax6
Kdm6b,Pax6
Rbfox2,Pax6
Egr1,Pax6
Atf4,Pax6
Mtor,Pax6
Sox9,Pax6
Adm,Pax6
Egr1,Rpusd1
Nfe2l2,Rpusd1
Pdk1,Rpusd1
Atf4,Rpusd1
Sox9,Rpusd1
Dnmt1,Rpusd1
Sox9,Rhbdf1
Egr1,Rhbdf1
Hif1a,Luc7l
Nfatc1,Luc7l
Egr1,Luc7l
Erg,Luc7l
Epas1,Cacna2d2
Egr1,Cacna2d2
Hif1a,Cacna2d2
Adm,Cacna2d2
Igf1,Baiap3
Hif1a,Baiap3
Egr1,Baiap3
Atf4,Baiap3
Sox9,Tsr3
Egr1,Tsr3
Cnr1,Tsr3
Erg,Tsr3
Sox9,Pigq
Nfatc1,Pigq
Nfe2l2,Pigq
Egr1,Pigq
Krt7,Pigq
Ascl2,Pigq
Egr1,Cramp1l
Hmgb1,Cramp1l
Epas1,Cramp1l
Atf4,Cramp1l
Atf4,Tead3
Egr1,Tead3
Sox9,Tead3
Sirt1,Sele
Adam17,Sele
Hmgb1,Sele
Adm,Sele
Erg,Sele
Vegfa,Sele
Nlrp3,Sele
Hif1a,Sele
Tlr4,Sele
Igf1,Dnajc11
Egr1,Dnajc11
Nfatc1,Dnajc11
Hif1a,Dnajc11
Nfe2l2,Fmo3
Hif1a,Fmo3
Pdk1,Fmo3
Nfatc1,Fmo3
Lin28a,Mylip
Egr1,Mylip
Vegfa,Mylip
Sirt1,Nox1
Hif1a,Nox1
Egr1,E2f2
Hif1a,E2f2
Rbfox2,E2f2
Atf4,E2f2
Nfe2l2,E2f2
Il33,E2f2
Erg,E2f2
Kdm6b,E2f2
Cd274,E2f2
Kit,Psmb1
Erg,Psmb1
Egr1,Psmb1
Flt1,Psmb1
Egr1,Syn1
Atf4,Syn1
Nkx2-5,Jarid2
Hmgb1,Jarid2
Cd274,Jarid2
Egr1,Jarid2
Hif1a,Jarid2
Nfatc1,Jarid2
Nfe2l2,Jarid2
Igf1,Jarid2
